title;descriptionHtml;status;totalInventory;mediaCount.count;metafield.value;metafield;sku;id;Cod. Modelo;Colecao;Cod. Gr.;Desc. Gr.;Cod. Subgr.;Desc. Subgr.;Cod. Prod.;Desc. Produto;Markup Aplic;Pr. Custo;Pr Venda unit;Faixa de Preco;Gde. Gr.;Metal;Cor Padrao;Desc Cor;Sub Nivel;Tab. Pr.;Foto;Encomendavel;Status;Estoque;STATUS_FINAL;Data Inclusao;Peso;Classificacao;Linha
Brinco Avantgarde | Ouro Branco 18K E Diamantes;O Brinco Line Avant Garde em Ouro Branco é uma joia com caimento perfeito e inovador. Uma peça que agrega força e personalidade a qualquer look.;ACTIVE;6;3;"• Diamante com aproximadamente 0,51CT;
• Lapidação em Brilhante;
• Grau de cor: ±G/H;
• Grau de pureza: ±VS/SI2;";;BR05812T;gid://shopify/ProductVariant/46332847554855;AVANTGARDE;AVANT GARDE;BR;BRINCO;DI;DIAMANTE INCOLOR;BR05812T;BRINCO OB, LINE AVANT G, D ±0,51CT;4.92;760.91;24500.0;05. De 20.000 a 50.000;PA;OURO;OB;OURO BRANCO;BR COMETA;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR05812T.JPG;Sim;Ativo;1.0;ATIVO;2019-11-07;8.9;COM;BRINCO CRA
Brinco Black Leopardo - G | Prata Com Ródio Negro;Argola Leopardo G em prata com banho de ródio negro e detalhes esmaltados em preto.;DRAFT;0;3;;;BR06282T;gid://shopify/ProductVariant/46334665654567;BLACK LEOP;BLACK LEOPARDO;BR;BRINCO;SP;SEM PEDRA;BR06282T;BR PR,LEOPARDO,ARGOLA G,BAN RN,ESMALT BK;9.94;105.68;5900.0;01. De 4.000 a 9.000;PA;PRATA;RN;RODIO NEGRO;ARGOLA;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR06282T.JPG;Nao;Inativo;0.0;INATIVO;2022-01-26;20.0;COM;BRINCO S/P
Brinco Black Leopardo - M | Prata com Ródio Negro;Argola Leopardo M em prata com banho de ródio negro e detalhes esmaltados em preto;DRAFT;0;3;;;BR06283T;gid://shopify/ProductVariant/46334669095207;BLACK LEOP;BLACK LEOPARDO;BR;BRINCO;SP;SEM PEDRA;BR06283T;BR PR,LEOPARDO,ARGOLA M,BAN RN,ESMALT BK;10.66;90.19;5400.0;01. De 4.000 a 9.000;PA;PRATA;RN;RODIO NEGRO;ARGOLA;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR06283T.JPG;Nao;Inativo;0.0;INATIVO;2022-01-26;15.0;COM;BRINCO S/P
Colar Black Leopardo - Maxi | Prata com Ródio Negro;Colar Leopardo Maxi em prata com banho de ródio negro e detalhes esmaltados em preto.;DRAFT;0;2;;;CL04551;gid://shopify/ProductVariant/46334672273703;BLACK LEOP;BLACK LEOPARDO;CL;COLAR;SP;SEM PEDRA;CL04551;COLAR PR,LEOPARDO,MAXI,BAN RN,ESMA BK- M;7.05;197.14;7800.0;01. De 4.000 a 9.000;PA;PRATA;RN;RODIO NEGRO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/CL04551.JPG;Nao;Inativo;0.0;INATIVO;2022-01-27;68.54;COM;COLAR S/P
Brinco Blossom - G | Prata Com Ouro Amarelo 18k E Safira;O Brinco Princesa G é leve e muito marcante. A peça é composta por safiras exclusivas, tornando cada joia única e ainda mais especial.;ACTIVE;1;2;;;BR05931T;gid://shopify/ProductVariant/46334857085223;BLOSSOM;BLOSSOM (MAES 2020);BR;BRINCO;SA;SAFIRA;BR05931T;BR PR, BR PRINCESA G , SAF 1,47CT-AMARE;7.08;126.54;4700.0;01. De 4.000 a 9.000;PA;PRATA;OA;OURO AMARELO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR05931T.JPG;Nao;Inativo;1.0;ATIVO;2020-04-08;17.41;COM;BRINCO CRA
Brinco Blossom | Prata Com Ouro Amarelo 18k E Safira;O Brinco Blossom é uma joia que une o moderno com o elegante. Uma peça forte e cheia de personalidade, combinando com mulheres de todas as idades.;DRAFT;0;2;;;BR05938T;gid://shopify/ProductVariant/46334858985767;BLOSSOM;BLOSSOM (MAES 2020);BR;BRINCO;SA;SAFIRA;BR05938T;BR PR, BRINCO BLOSSOM, SAF 1,16CT- AMARE;14.4;44.41;3700.0;02. De 2.000 a 4.000;PA;PRATA;OA;OURO AMARELO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR05938T.JPG;Nao;Inativo;0.0;INATIVO;2020-04-08;11.39;COM;BRINCO CRA
Brinco Blossom - G | Prata Com Ródio Negro E Safira;O Brinco Princesa G é leve e muito marcante. A peça é composta por safiras exclusivas, tornando cada joia única e ainda mais especial.;ACTIVE;3;2;;;BR05932T;gid://shopify/ProductVariant/46334861377831;BLOSSOM;BLOSSOM (MAES 2020);BR;BRINCO;SA;SAFIRA;BR05932T;BR PR, BR PRINCESA G, SAF 0,79CT- RN;13.13;62.46;4300.0;01. De 4.000 a 9.000;PA;PRATA;RN;RODIO NEGRO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR05932T.JPG;Nao;Inativo;3.0;ATIVO;2020-04-08;16.34;COM;BRINCO CRA
Brinco Blossom - P | Prata Com Ródio Negro E Safira;O Brinco Princesa P é leve, despojado e marcante. A peça é composta por safiras exclusivas, tornando cada joia única e ainda mais especial.;ACTIVE;2;3;;;BR05933T;gid://shopify/ProductVariant/46334865015079;BLOSSOM;BLOSSOM (MAES 2020);BR;BRINCO;SA;SAFIRA;BR05933T;BR PR, BR PRINCESA P , SAF 0,89CT- RN;8.9;74.98;3500.0;02. De 2.000 a 4.000;PA;PRATA;RN;RODIO NEGRO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR05933T.JPG;Nao;Inativo;2.0;ATIVO;2020-04-08;10.02;COM;BRINCO S/P
Brinco Blossom | Prata Com Ródio Negro E Safira;O Brinco Blossom é uma joia que une o moderno com o elegante. Uma peça forte e cheia de personalidade, combinando com mulheres de todas as idades.;DRAFT;0;2;;;BR05937T;gid://shopify/ProductVariant/46334867767591;BLOSSOM;BLOSSOM (MAES 2020);BR;BRINCO;SA;SAFIRA;BR05937T;BR PR, BRINCO BLOSSOM, SAF ±0,94CT- RN;11.76;56.05;3700.0;02. De 2.000 a 4.000;PA;PRATA;RN;RODIO NEGRO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR05937T.JPG;Nao;Inativo;0.0;INATIVO;2020-04-08;10.81;COM;BRINCO S/P
Brinco Brasil | Ouro Branco 18K Com Ródio Negro E Turmalinas;"Medidas aproximadas_x000D_
Solitário: 8mm x 5mm_x000D_
Pedras trio: 19mm, 17mm ,10mm x 14mm";DRAFT;0;1;"• Turmalina Rosa com aproximadamente 8,12CT;
• Lapidação em Baguete;";;BR04476T;gid://shopify/ProductVariant/46334897094951;BRASIL;BRASIL;BR;BRINCO;PB;PEDRA BRASILEIRA;BR04476T;BR OBN, TURMALINA ROSA 8,12CT;5.54;510.39;16000.0;06. De 10.000 a 20.000;PA;OURO;RN;RODIO NEGRO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR04476T.JPG;Nao;Inativo;0.0;INATIVO;2015-10-05;5.7;COM;BRINCO MAN
Brinco Celebrate Triplo | Ouro Amarelo 18K e Diamantes;Para quem ama joias impactantes e únicas, o Brinco Celebrate Triplo é peça que faltava para o seu look ficar ainda mais perfeito.;ACTIVE;5;2;"• Diamante com aproximadamente 4,60CT;
• Lapidação em Brilhante;
• Grau de cor: LLB;
• Grau de pureza: ±VS1/SI2;";;BR06373T;gid://shopify/ProductVariant/46335058542887;CELEBRATE;CELEBRATE;BR;BRINCO;DI;DIAMANTE INCOLOR;BR06373T;BRINCO OA, CELEBRATE TRIPLO, DLB ±4,60C;5.88;2345.17;89900.0;04. De 50.000 a 100.000;PA;OURO;OA;OURO AMARELO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR06373T.JPG;Sim;Ativo;0.0;ATIVO;2022-03-23;23.0;COM;BRINCO CRA
Brinco Celebrate Duplo | Ouro Amarelo 18K e Diamantes;O Brinco Celebrate Duplo é impactante na medida certa. Para quem adora acessórios eternos e marcantes este brinco é a escolha certa.;ACTIVE;5;4;"• Diamante com aproximadamente 3,30CT;
• Lapidação em Brilhante;
• Grau de cor: LLB;
• Grau de pureza: ±VS1/SI2;";;BR06375T;gid://shopify/ProductVariant/46335063916839;CELEBRATE;CELEBRATE;BR;BRINCO;DI;DIAMANTE INCOLOR;BR06375T;BRINCO OA,CELEBRATE DUPLO,DLB ±3,30CT;5.77;1805.51;67900.0;04. De 50.000 a 100.000;PA;OURO;OA;OURO AMARELO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR06375T.JPG;Sim;Ativo;0.0;ATIVO;2022-03-23;19.0;COM;BRINCO CRA
Brinco Celebrate Duo | Ouro Amarelo 18K e Diamantes;Statement jewelry! O Brinco Celebrate Duo une diamantes em um design super cool e moderno.;ACTIVE;6;3;"• Diamante com aproximadamente 1,57CT;
• Lapidação em Brilhante;
• Grau de cor: LLB;
• Grau de pureza: ±VS1/SI2;";;BR06377T;gid://shopify/ProductVariant/46335067750695;CELEBRATE;CELEBRATE;BR;BRINCO;DI;DIAMANTE INCOLOR;BR06377T;BRINCO OA, CELEBRATE DUO, DLB ±1,70CT;5.43;1077.41;37900.0;05. De 20.000 a 50.000;PA;OURO;OA;OURO AMARELO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR06377T.JPG;Sim;Ativo;2.0;ATIVO;2022-03-23;12.2;COM;BRINCO CRA
Brinco Celebrate | Ouro Amarelo 18K e Diamantes;O Brinco Celebrate é elegante e moderno, combinando com diversas ocasiões.;ACTIVE;7;4;"• Diamante com aproximadamente 0,14CT;
• Lapidação em Brilhante;
• Grau de cor: LLB;
• Grau de pureza: ±VS1/SI2;";;BR06379T;gid://shopify/ProductVariant/46335074533671;CELEBRATE;CELEBRATE;BR;BRINCO;DI;DIAMANTE INCOLOR;BR06379T;BRINCO OA,CELEBRATE, DLB ±0,90CT;6.3;616.84;25500.0;05. De 20.000 a 50.000;PA;OURO;OA;OURO AMARELO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR06379T.JPG;Sim;Ativo;2.0;ATIVO;2022-03-23;7.5;COM;BRINCO CRA
Brinco Celebrate Franja | Ouro Amarelo 18K e Diamantes;Versátil, o Brinco Celebrate Franja, é uma statement piece, que une design único com movimento.;ACTIVE;5;3;"• Diamante com aproximadamente 0,14CT;
• Lapidação em Brilhante;
• Grau de cor: LLB;
• Grau de pureza: ±VS1/SI2;";;BR06380T;gid://shopify/ProductVariant/46335077777703;CELEBRATE;CELEBRATE;BR;BRINCO;DI;DIAMANTE INCOLOR;BR06380T;BR OA, CELEBRATE FRANJA , DLB ±0,14CT;4.93;715.46;19900.0;06. De 10.000 a 20.000;PA;OURO;OA;OURO AMARELO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR06380T.JPG;Sim;Ativo;0.0;ATIVO;2022-03-23;10.2;COM;BR CHAIN P
Brinco Celebrate Plus Solitário | Ouro Amarelo 18K e Diamantes;Delicado e versátil, o Brinco Celebrate Plus Unitário é o acessório perfeito para ser adicionado a qualquer look!;ACTIVE;8;3;"• Diamante com aproximadamente 0,05CT;
• Lapidação em Brilhante;
• Grau de cor: ±G/H;
• Grau de pureza: ±VS1/SI2;";;BR06381T;gid://shopify/ProductVariant/46335081349415;CELEBRATE;CELEBRATE;BR;BRINCO;DI;DIAMANTE INCOLOR;BR06381T;BR OA,CELEBRATE PLUS,DLB ±0,05CT-UNITAR;4.76;192.88;5900.0;07. De 5.000 a 10.000;PA;OURO;OA;OURO AMARELO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR06381T.JPG;Sim;Ativo;3.0;ATIVO;2022-03-23;2.78;ESP;BRINCO MAN
Brinco Celebrate Rock | Ouro Amarelo 18K e Diamantes;O Brinco Celebrate Rock é versátil e cool, o design de triângulo com as franjas, tornam esse brinco a escolha certa para quem ama acessórios poderosos e delicados ao mesmo tempo.;ACTIVE;5;3;"• Diamante com aproximadamente 0,09CT;
• Lapidação em Brilhante;
• Grau de cor: LLB;
• Grau de pureza: ±VS1/SI2;";;BR06387T;gid://shopify/ProductVariant/46335086264615;CELEBRATE;CELEBRATE;BR;BRINCO;DI;DIAMANTE INCOLOR;BR06387T;BR OA, CELEBRATE ROCK, DLB ±0,09CT;5.36;447.01;13500.0;06. De 10.000 a 20.000;PA;OURO;OA;OURO AMARELO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR06387T.JPG;Sim;Ativo;0.0;ATIVO;2022-03-28;6.6;ESP;BRINCO MAN
Brinco Celebrate Franja | Ouro Branco 18K E Diamantes;Minimalista e cool na medida certa, o Brinco Celebrate Franja faz o uso das correntes para dar ainda mais movimento e criatividade para essa joia.;ACTIVE;6;4;"• Diamante  com aproximadamente 0,14CT;
• Lapidação em Brilhante;
• Grau de cor: ±G/H;
• Grau de pureza: ±VS1/SI2;";;BR06299T;gid://shopify/ProductVariant/46335092654375;CELEBRATE;CELEBRATE;BR;BRINCO;DI;DIAMANTE INCOLOR;BR06299T;BR OB, CELEBRATE FRANJA, D ±0,14CT;4.29;748.88;20900.0;05. De 20.000 a 50.000;PA;OURO;OB;OURO BRANCO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR06299T.JPG;Sim;Ativo;1.0;ATIVO;2022-03-21;10.2;COM;BR CHAIN P
Brinco Celebrate Plus Unitário | Ouro Branco 18K e Diamante;Delicado e versátil, o Brinco Celebrate Plus Unitário é o acessório perfeito para ser adicionado a qualquer look!;ACTIVE;5;3;"• Diamante com aproximadamente 0,05CT;
• Lapidação em Brilhante;
• Grau de cor: ±G/H;
• Grau de pureza: ±VS1/SI2;";;BR06301T;gid://shopify/ProductVariant/46335096095015;CELEBRATE;CELEBRATE;BR;BRINCO;DI;DIAMANTE INCOLOR;BR06301T;BR OB,CELEBRATE PLUS ,D ±0,05CT-UNITARIO;5.59;187.2;5900.0;07. De 5.000 a 10.000;PA;OURO;OB;OURO BRANCO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR06301T.JPG;Sim;Ativo;0.0;ATIVO;2022-03-21;2.45;ESP;BRINCO MAN
Brinco Celebrate Rock | Ouro Branco 18K e Diamantes;O Brinco Celebrate Rock é versátil e cool, o design de triângulo com as franjas, tornam esse brinco a escolha certa para quem ama acessórios poderosos e delicados ao mesmo tempo.;ACTIVE;7;3;"• Diamante com aproximadamente 0,09CT;
• Lapidação em Brilhante;
• Grau de cor: ±G/H;
• Grau de pureza: ±VS1/SI2;";;BR06302T;gid://shopify/ProductVariant/46335101468967;CELEBRATE;CELEBRATE;BR;BRINCO;DI;DIAMANTE INCOLOR;BR06302T;BR OB, CELEBRATE ROCK, D ±0,09CT;4.58;462.38;13900.0;06. De 10.000 a 20.000;PA;OURO;OB;OURO BRANCO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR06302T.JPG;Sim;Ativo;2.0;ATIVO;2022-03-21;6.6;ESP;BRINCO MAN
Brinco Celebrate Triplo | Ouro Branco 18K e Diamantes;"<div class=""ewa-rteLine"">Impactante e capaz de mudar qualquer look, o Brinco Celebrate Triplo é a joia que faltava na sua coleção!</div>
<div class=""ewa-rteLine""><br></div>";ACTIVE;6;4;"• Diamante com aproximadamente 4,60CT;
• Lapidação em Brilhante;
• Grau de cor: ±G/H;
• Grau de pureza: ±VS1/SI2;";;BR06372T;gid://shopify/ProductVariant/46335104123175;CELEBRATE;CELEBRATE;BR;BRINCO;DI;DIAMANTE INCOLOR;BR06372T;BRINCO OB, CELEBRATE TRIPLO, D ±4,60CT;3.84;4229.79;105900.0;03. De 100.000 a 200.000;PA;OURO;OB;OURO BRANCO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR06372T.JPG;Sim;Ativo;1.0;ATIVO;2022-03-23;23.0;COM;BRINCO CRA
Brinco Celebrate Duplo | Ouro Branco 18K e Diamantes;"<p>O Brinco Celebrate Duplo em Ouro Branco 18K é uma joia de extrema elegância e sofisticação. Com um design fio-faca, esses brincos são adornados com diamantes que capturam e refletem a luz de maneira deslumbrante. <br></p>
<!---->";ACTIVE;5;4;"• Diamante com aproximadamente 3,30CT;
• Lapidação em Brilhante;
• Grau de cor: ±G/H;
• Grau de pureza: ±VS1/SI2;";;BR06374T;gid://shopify/ProductVariant/46335107072295;CELEBRATE;CELEBRATE;BR;BRINCO;DI;DIAMANTE INCOLOR;BR06374T;BRINCO OB, CELEBRATE DUPLO, D ±3,30CT;4.03;2977.74;78500.0;04. De 50.000 a 100.000;PA;OURO;OB;OURO BRANCO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR06374T.JPG;Sim;Ativo;0.0;ATIVO;2022-03-23;19.0;COM;BRINCO CRA
Brinco Celebrate Duo | Ouro Branco 18K e Diamantes;Statement jewelry! O Brinco Celebrate Duo une diamantes em um design super cool e moderno.;ACTIVE;6;3;"• Diamante com aproximadamente 1,57CT;
• Lapidação em Brilhante;
• Grau de cor: ±G/H;
• Grau de pureza: ±VS1/SI2;";;BR06376T;gid://shopify/ProductVariant/46335110545703;CELEBRATE;CELEBRATE;BR;BRINCO;DI;DIAMANTE INCOLOR;BR06376T;BRINCO OB, CELEBRATE DUO , D± 1,70CT;3.99;1687.42;43900.0;05. De 20.000 a 50.000;PA;OURO;OB;OURO BRANCO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR06376T.JPG;Sim;Ativo;1.0;ATIVO;2022-03-23;10.44;COM;BRINCO CRA
Brinco Celebrate | Ouro Branco 18K e Diamantes;O Brinco Celebrate é elegante e versátil, sendo facilmente combinado com as outras peças dessa coleção.;ACTIVE;5;2;"• Diamante com aproximadamente 0,90CT;
• Lapidação em Brilhante;
• Grau de cor: ±G/H;
• Grau de pureza: ±VS1/SI2;";;BR06378T;gid://shopify/ProductVariant/46335115788583;CELEBRATE;CELEBRATE;BR;BRINCO;DI;DIAMANTE INCOLOR;BR06378T;BRINCO OB, CELEBRATE, D ±0,90CT;4.79;958.47;29900.0;05. De 20.000 a 50.000;PA;OURO;OB;OURO BRANCO;;A;http://jackvartanian.net/cms/wp-content/uploads/fotos/BR06378T.JPG;Sim;Ativo;0.0;ATIVO;2022-03-23;7.5;COM;BRINCO CRA
